B	  0.340864	  2.262265
A	 -6.531700	 -1.143382
B	  3.991078	  5.426426
B	  1.066426	  3.854547
A	 -3.344777	 -0.997425
B	  6.880506	  9.571019
B	  3.612382	  8.079654
A	 -1.858272	  1.666709
B	  2.992811	  4.512526
A	 -1.527862	  1.590847
A	 -2.452202	  2.514955
A	 -4.269582	 -2.981077
A	  0.847507	 -0.502044
A	 -2.982353	 -0.605902
B	  5.947664	 10.146295
B	  2.134989	  6.720452
A	 -3.668255	  0.897332
A	  0.481810	  1.525436
B	  3.754926	  6.171111
A	 -8.204793	 -0.698742
B	  2.593253	  4.912375
A	 -1.180925	  0.901794
A	 -6.812209	  0.107221
B	  4.464484	  7.684756
B	  3.446786	  2.170684
A	 -0.112767	  0.101961
B	  5.739775	  3.943540
B	  3.498539	  8.402293
B	  5.386310	  6.454115
B	  6.464852	  4.146651
A	 -3.173958	  4.050555
B	  2.634898	  5.539922
A	 -2.589397	 -1.273845
A	  0.468748	 -1.318498
A	 -2.060007	  0.784398
A	  6.267149	  3.880942
B	  4.671486	  6.861977
A	 -4.895298	 -1.655592
B	  2.270944	  2.867712
A	 -2.312828	 -2.708183
A	 -5.409393	  3.236411
A	 -1.019220	 -2.335836
A	 -7.520854	  0.683957
A	  5.085550	 -0.913686
B	  7.007585	  7.435188
B	  3.143166	  8.221157
B	  4.211683	  5.808906
A	 -4.840178	  2.741326
B	  4.751620	  7.393386
A	 -2.016739	  0.548170
A	 -3.572089	 -1.624468
A	  1.163430	  1.356259
B	  2.376298	  7.435370
B	  6.346275	  5.275648
A	 -5.953443	 -0.792679
B	  2.344570	  6.735888
A	  2.121483	 -0.493570
B	  0.716881	  7.352890
B	  6.084021	  6.028100
B	  4.028889	 10.533549
B	  3.932682	  8.909513
A	  3.283537	  1.194718
B	  1.082870	  6.518870
A	 -1.395481	 -1.339711
B	  5.983166	  8.995089
A	  1.131486	  0.574462
A	 -1.989440	  1.571906
A	  3.546683	  3.222817
B	  3.582214	  6.603020
B	  4.389547	  9.611069
A	 -6.244536	 -1.525751
B	  1.569274	  5.231213
B	  6.373842	  6.249372
B	  5.389393	  7.438073
A	  0.844767	 -2.103462
A	  2.683920	  1.514835
A	 -6.283482	  2.122422
A	 -0.698995	  3.196977
B	  0.555768	  2.192534
A	 -2.163050	 -1.179121
B	  4.822393	  8.493110
A	  0.409183	 -1.607870
A	 -1.189536	  0.543454
B	  1.125528	  4.477489
A	  3.305849	  2.194351
B	  5.379816	  8.999843
B	  2.060516	  6.591391
B	  6.200917	  9.446353
A	 -2.845042	  2.231124
A	 -2.463471	 -0.750479
A	 -6.854661	 -0.676761
A	 -3.668556	 -3.359300
A	 -4.839619	 -1.772465
A	 -0.600086	 -0.716686
A	 -3.136839	 -0.452469
B	  3.052640	  4.271799
B	  1.946677	  5.201675
A	  5.880174	 -0.040880
A	 -8.730743	  1.081873
B	  3.299172	  4.874261
A	 -5.350146	  3.681154
B	  6.250999	  4.139603
B	  1.682196	  3.706292
B	  7.948567	  6.512669
B	  3.171511	  7.112738
A	 -3.550039	  2.045079
A	 -1.529949	 -0.917418
B	  6.387674	  5.301145
B	  3.905899	  7.063261
B	  6.145164	  0.374964
A	  0.543164	  0.201747
A	  1.702054	  0.510648
B	  4.558457	  7.353872
A	 -2.667009	 -0.732658
A	 -1.095812	  0.014790
B	  0.808650	  1.493528
A	 -1.711472	 -0.800420
A	 -4.455562	  0.295937
B	  4.943008	  9.135406
B	  0.848418	  3.879510
A	 -1.011847	  3.568739
B	  4.386256	  5.098268
A	 -7.528375	  1.928982
B	  3.647588	  4.478267
B	  2.695647	  5.600414
A	 -1.945905	 -1.214989
A	 -4.960432	  3.889208
B	  3.034422	  6.296539
B	  5.598842	  7.177206
B	  2.268012	  4.299412
B	  4.104860	  5.688407
A	 -0.854293	 -0.231504
B	  4.851804	  5.772463
B	  5.442554	  7.210563
B	  4.758350	  6.992313
B	  1.317548	  5.177304
A	 -3.768624	  1.177965
B	  6.822056	  3.050207
B	  3.243548	  3.444054
A	  4.122852	  1.112636
B	  5.264956	  2.073092
A	 -1.774991	  2.002580
B	  4.416594	  7.469439
B	  3.902605	 14.060685
A	  1.372195	  4.395609
A	 -4.983866	 -1.059910
A	 -8.484189	 -3.292425
A	 -7.592790	  0.765577
A	  7.839716	  0.179784
A	  0.174957	 -0.137755
B	  5.201958	  6.437576
B	  5.300726	  5.059841
A	  5.253244	  0.680128
B	  3.566737	  3.792477
A	 -3.424422	  2.575329
A	-10.566464	  3.008624
A	 -1.217376	  1.488998
A	  3.529795	  2.135877
B	  5.228292	  8.314562
B	  5.592454	  7.371472
A	  2.780442	  0.029199
A	 -2.909915	 -0.981010
A	 -2.762018	  1.997485
B	  7.221907	  7.380423
B	  0.965740	  4.718620
B	  4.125185	  4.353553
A	 -3.344334	  0.094467
A	 -0.858789	 -0.004532
A	  0.505652	  3.050867
A	  2.831717	 -1.103439
B	 -0.058347	  5.611120
B	  1.319382	  3.641616
A	 -3.408210	 -1.509712
B	  3.816534	  5.660594
B	  3.429667	  6.808188
B	  4.370106	  1.670830
B	  7.455566	  7.319676
B	  4.019773	  8.994841
A	 -0.759249	  1.240971
B	  4.026897	  8.184517
B	  3.678154	  5.553588
B	  4.001522	 10.695052
A	  6.694752	 -2.506272
B	  4.372972	  8.048590
B	  4.366992	  6.584075
A	 -0.920141	 -3.153453
B	  4.200747	  6.772793
A	  3.826770	  0.426995
B	  2.908199	  4.586351
B	  4.700875	  2.651687
A	 -7.529543	  1.029356
B	  2.516343	  7.939162
B	  4.548238	  9.118150
B	  1.057200	  4.558586
A	  1.320718	 -2.035918
B	  5.261733	  8.004959
B	  4.345614	  6.081438
A	 -0.684803	 -1.800308
A	 -3.585078	  0.208103
A	 -0.168552	  0.068306
B	  3.986346	  4.855633
B	  7.040760	  5.121064
A	  6.260388	  0.176490
A	  1.777283	  0.219857
A	 -6.417026	  4.355487
A	 -1.934648	 -1.315513
B	  0.895576	  5.761760
A	  2.440213	  0.444863
B	  4.220850	  1.253049
B	  4.796558	  5.847584
B	  2.549095	  3.960914
B	  2.657287	  7.407143
A	  1.385251	 -1.368729
B	  4.406163	  2.090469
A	  4.965678	  0.839480
A	 -3.941813	  0.854600
B	  6.762449	  6.055134
B	  5.622154	  6.260175
B	  3.682385	  2.217711
A	  1.526849	  1.484415
